"","facility_id","facility_name","address","citytown","state","zip_code","countyparish","telephone_number","measure_id","measure_name","score","sample","footnote","start_date","end_date"
"1","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","(602) 839-2000","PC_01","Elective Delivery","1","109","2","01/01/2023","12/31/2023"
"2","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","(602) 839-2000","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"3","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","(602) 839-2000","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"4","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","(602) 839-2000","ePC_02","Cesarean Birth","Not Available","Not Available","5","01/01/2023","12/31/2023"
"5","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","(602) 839-2000","ePC_07a","Risk Adjusted Severe Obstetric Complications (All)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"6","030002","BANNER - UNIVERSITY MEDICAL CENTER PHOENIX","1111 EAST MCDOWELL ROAD","PHOENIX","AZ","85006","MARICOPA","(602) 839-2000","ePC_07b","Risk Adjusted Severe Obstetric Complications (excluding blood-transfusion-only cases)","Not Available","Not Available","5","01/01/2023","12/31/2023"
"7","030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","(520) 324-1399","PC_01","Elective Delivery","0","65","2","01/01/2023","12/31/2023"
"8","030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","(520) 324-1399","PC_05","Exclusive Breast Milk Feeding","Not Available","Not Available","5","01/01/2023","12/31/2023"
"9","030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","(520) 324-1399","SM_7","Maternal Morbidity Structural Measure","Yes","Not Applicable","","01/01/2023","12/31/2023"
"10","030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","AZ","85712","PIMA","(520) 324-1399","ePC_02","Cesarean Birth","25","1778","","01/01/2023","12/31/2023"
